"","sample","source","treatment","block","ditch","Percent_Loss","temp_degC","moisture","pH","c_percent","n_percent","C_N","n_nh4_ug_gsoil","n_no3_ug_gsoil","p_po4_hcl_ug_gsoil","p_po4_w_ug_gsoil","richness","shannon","simp.even","J"
"WRC18_163_bulk","WRC18_163","bulk_soil","M",1,1,NA,12.3,35.6,4.19,5.39,0.3,17.97,0.434,0,169.542,0,3956,6.28216036473817,0.0377153635389946,0.774035078181143
"WRC18_164_bulk","WRC18_164","bulk_soil","MF",1,1,NA,10.8,26.4,4.18,2.59,0.16,16.19,0.187,0,200.566,0.453,3838,6.32835895025989,0.0412842608855432,0.779870889746408
"WRC18_167_bulk","WRC18_167","bulk_soil","M",2,0,NA,13.3,33.6,3.56,4.72,0.22,21.45,0.636,0.014,117.773,0.435,4301,5.90440617863282,0.0288015913346167,0.740057162591485
"WRC18_168_bulk","WRC18_168","bulk_soil","MF",2,0,NA,14,35.4,3.77,4.89,0.24,20.38,0.553,0.175,294.123,5.284,3487,6.01161666681008,0.0298447148679008,0.750200825140475
"WRC18_171_bulk","WRC18_171","bulk_soil","M",3,1,NA,11.8,23.6,4.12,2.47,0.15,16.47,0.261,0.076,105.755,0.073,2988,6.03551938695531,0.0326256310099004,0.758566830540439
"WRC18_172_bulk","WRC18_172","bulk_soil","MF",3,1,NA,12,32.1,4.11,5.45,0.3,18.17,0.234,0,405.053,1.226,3461,6.36233059053049,0.0356289646107376,0.781975689783107
"WRC18_175_bulk","WRC18_175","bulk_soil","M",4,0,NA,12.3,35.5,3.86,4.74,0.24,19.75,0.105,0.082,141.245,0.126,3335,5.96449271220245,0.0268470672034714,0.745435328510023
"WRC18_176_bulk","WRC18_176","bulk_soil","MF",4,0,NA,13.3,36.8,4.02,6.36,0.33,19.27,0.133,0.104,304.001,1.936,3175,6.19842601843506,0.0373357574094963,0.770998383080558
"WRC18_179_bulk","WRC18_179","bulk_soil","M",5,1,NA,11.8,27.6,4.16,3.78,0.21,18,0.296,0,101.65,-0.054,3683,6.07083961926638,0.0339629608983709,0.7585994786453
"WRC18_180_bulk","WRC18_180","bulk_soil","MF",5,1,NA,12.8,29,4.19,4.07,0.22,18.5,0.428,0,222.705,0.976,4190,6.33237269441076,0.0354740939893507,0.775300578426905
"WRC18_183_bulk","WRC18_183","bulk_soil","M",6,0,NA,15,34.1,4.11,4.62,0.24,19.25,0.081,0.179,115.138,0.093,3524,6.02816570465409,0.0302871276408745,0.749012677139249
"WRC18_184_bulk","WRC18_184","bulk_soil","MF",6,0,NA,13.7,38.1,4.21,4.93,0.26,18.96,0.21,0,322.486,2.812,5052,6.51413478999698,0.0361350799040665,0.786567482511983
"WRC18_187_bulk","WRC18_187","bulk_soil","M",7,1,NA,14,27.6,3.91,3.05,0.18,16.94,0.2,0,115.97,0.085,3046,6.10223391857873,0.0337478961130025,0.763581737305494
"WRC18_188_bulk","WRC18_188","bulk_soil","MF",7,1,NA,14,35.3,4.26,4.89,0.29,16.86,0.21,0,265.809,1.49,3699,6.48050954207406,0.038252177191873,0.789908685610521
"WRC18_191_bulk","WRC18_191","bulk_soil","M",8,0,NA,12.7,34.3,4.01,3.67,0.2,18.35,0.221,0.268,121.264,0.113,3095,5.95929981617854,0.0259320333298876,0.743672108043588
"WRC18_192_bulk","WRC18_192","bulk_soil","MF",8,0,NA,12.7,36.2,4.24,4.26,0.24,17.75,0.307,0.691,276.878,1.623,4181,6.60373953522526,0.042386493887481,0.797875980382177
