"","sample","source","treatment","block","ditch","Percent_Loss","temp_degC","moisture","pH","c_percent","n_percent","C_N","n_nh4_ug_gsoil","n_no3_ug_gsoil","p_po4_hcl_ug_gsoil","p_po4_w_ug_gsoil","richness","shannon","simp.even","J"
"WRC18_163_bulk","WRC18_163","bulk_soil","M",1,1,NA,12.3,35.6,4.19,5.39,0.3,17.97,0.434,0,169.542,0,24,1.85655545706782,-0.0971961896107901,0.584179990703479
"WRC18_164_bulk","WRC18_164","bulk_soil","MF",1,1,NA,10.8,26.4,4.18,2.59,0.16,16.19,0.187,0,200.566,0.453,17,1.65534432227976,-0.157920583256034,0.584263915653406
"WRC18_167_bulk","WRC18_167","bulk_soil","M",2,0,NA,13.3,33.6,3.56,4.72,0.22,21.45,0.636,0.014,117.773,0.435,31,2.03650060819946,-0.071105144147419,0.593042573233698
"WRC18_168_bulk","WRC18_168","bulk_soil","MF",2,0,NA,14,35.4,3.77,4.89,0.24,20.38,0.553,0.175,294.123,5.284,27,1.94894833435139,-0.0840340184055227,0.591336408198556
"WRC18_171_bulk","WRC18_171","bulk_soil","M",3,1,NA,11.8,23.6,4.12,2.47,0.15,16.47,0.261,0.076,105.755,0.073,19,1.80226879265549,-0.12633771388116,0.612092424196106
"WRC18_172_bulk","WRC18_172","bulk_soil","MF",3,1,NA,12,32.1,4.11,5.45,0.3,18.17,0.234,0,405.053,1.226,20,1.84328873596482,-0.116140207094784,0.615304896314394
"WRC18_175_bulk","WRC18_175","bulk_soil","M",4,0,NA,12.3,35.5,3.86,4.74,0.24,19.75,0.105,0.082,141.245,0.126,30,1.91045412786392,-0.0764750444793669,0.561700458245763
"WRC18_176_bulk","WRC18_176","bulk_soil","MF",4,0,NA,13.3,36.8,4.02,6.36,0.33,19.27,0.133,0.104,304.001,1.936,25,1.81920770894971,-0.099601239990141,0.565168651395303
"WRC18_179_bulk","WRC18_179","bulk_soil","M",5,1,NA,11.8,27.6,4.16,3.78,0.21,18,0.296,0,101.65,-0.054,25,1.94113755628858,-0.09273397360925,0.603048288253883
"WRC18_180_bulk","WRC18_180","bulk_soil","MF",5,1,NA,12.8,29,4.19,4.07,0.22,18.5,0.428,0,222.705,0.976,16,1.5240745676364,-0.156104670853058,0.549693705168508
"WRC18_183_bulk","WRC18_183","bulk_soil","M",6,0,NA,15,34.1,4.11,4.62,0.24,19.25,0.081,0.179,115.138,0.093,27,1.99230866205373,-0.0828681275465094,0.611494668375781
"WRC18_184_bulk","WRC18_184","bulk_soil","MF",6,0,NA,13.7,38.1,4.21,4.93,0.26,18.96,0.21,0,322.486,2.812,24,1.70950475697539,-0.106676774323497,0.5379093143895
"WRC18_187_bulk","WRC18_187","bulk_soil","M",7,1,NA,14,27.6,3.91,3.05,0.18,16.94,0.2,0,115.97,0.085,19,1.79212945067728,-0.123442558230902,0.608648867698602
"WRC18_188_bulk","WRC18_188","bulk_soil","MF",7,1,NA,14,35.3,4.26,4.89,0.29,16.86,0.21,0,265.809,1.49,20,1.72859847910872,-0.119804405647775,0.577020348035973
"WRC18_191_bulk","WRC18_191","bulk_soil","M",8,0,NA,12.7,34.3,4.01,3.67,0.2,18.35,0.221,0.268,121.264,0.113,33,2.0547328266566,-0.0675887174262667,0.587652905230618
"WRC18_192_bulk","WRC18_192","bulk_soil","MF",8,0,NA,12.7,36.2,4.24,4.26,0.24,17.75,0.307,0.691,276.878,1.623,22,1.74656277474865,-0.110688916431203,0.565040047525412
