sample,label,year,source,fertilized,mowed,treatment,ditch,block,temp1_C,temp2_C,temp3_C,moist_percent,mcf,pH,c_percent,n_percent,TN_mg_g,C_N,n_nh4_ug_gsoil,n_no3_ug_gsoil,p_po4_hcl_ug_gsoil,p_po4_hcl_mg_gsoil,p-po4_w_ug_gsoil,bio_NP,tot_NP,percent_om
WRC18_161,WRC18_161-C-1,2018,bulk,uf,um,C,1,1,12,12.5,10.5,30.2,0.7,3.92,3.36,0.19,1.9,17.6842,0.2899,NA,302.7402,0.302740226,1.3776,0.210433311,6.276007735,NA
WRC18_162,WRC18_162-F-1,2018,bulk,f,um,F,1,1,15.5,15,13,30.5,0.7,3.94,4.21,0.24,2.4,17.5417,0.1616,NA,348.9264,0.348926372,1.1809,0.136878543,6.878241914,NA
WRC18_163,WRC18_163-M-1,2018,bulk,uf,m,M,1,1,14,13,10,35.6,0.64,4.19,5.39,0.3,3,17.9667,0.4336,NA,169.5419,0.169541895,-0.0003,-1483.833758,17.6947415,NA
WRC18_164,WRC18_164-MF-1,2018,bulk,f,m,MF,1,1,9.5,10,13,26.4,0.74,4.18,2.59,0.16,1.6,16.1875,0.187,NA,200.5662,0.20056621,0.4525,0.41331834,7.977415543,NA
WRC18_165,WRC18_165-C-2,2018,bulk,uf,um,C,0,2,15,16,16,34.5,0.66,3.44,4.82,0.21,2.1,22.9524,0.1657,NA,128.7456,0.12874561,0.5129,0.323096319,16.31123572,NA
WRC18_166,WRC18_166-F-2,2018,bulk,f,um,F,0,2,16,15,15,34.1,0.66,3.55,4.41,0.21,2.1,21,0.5712,NA,323.0713,0.3230713,4.328,0.131971575,6.500113126,NA
WRC18_167,WRC18_167-M-2,2018,bulk,uf,m,M,0,2,14,12,14,33.6,0.66,3.56,4.72,0.22,2.2,21.4545,0.6364,0.0142,117.7729,0.117772912,0.4347,1.463874036,18.68001704,0.10701189
WRC18_168,WRC18_168-MF-2,2018,bulk,f,m,MF,0,2,14,14,14,35.4,0.65,3.77,4.89,0.24,2.4,20.375,0.5527,0.175,294.1233,0.294123341,5.2838,0.104601037,8.159842019,0.123534559
WRC18_169,WRC18_169-C-3,2018,bulk,uf,um,C,1,3,11,13,13,28.4,0.72,4.07,3.45,0.2,2,17.25,0.2582,NA,116.1149,0.116114947,0.026,9.93242884,17.22431141,NA
WRC18_170,WRC18_170-F-3,2018,bulk,f,um,F,1,3,11,14.5,14.5,32.2,0.68,3.81,4.52,0.23,2.3,19.6522,0.2655,0.306,312.1478,0.312147768,1.5662,0.169546444,7.368305135,NA
WRC18_171,WRC18_171-M-3,2018,bulk,uf,m,M,1,3,11.5,12,12,23.6,0.76,4.12,2.47,0.15,1.5,16.4667,0.2614,0.0759,105.7549,0.105754867,0.0734,3.561951732,14.18374431,NA
WRC18_172,WRC18_172-MF-3,2018,bulk,f,m,MF,1,3,12,12,12,32.1,0.68,4.11,5.45,0.3,3,18.1667,0.2338,NA,405.0531,0.405053072,1.2257,0.190746094,7.406436856,NA
WRC18_173,WRC18_173-C-4,2018,bulk,uf,um,C,0,4,13,13,13,33,0.67,3.82,3.88,0.21,2.1,18.4762,0.0905,NA,571.8521,0.571852073,0.1346,0.672652587,3.672278375,NA
WRC18_174,WRC18_174-F-4,2018,bulk,f,um,F,0,4,14,13,13,30.7,0.69,3.74,3.76,0.2,2,18.8,0.0823,NA,271.1347,0.271134725,6.0827,0.013534336,7.376406702,NA
WRC18_175,WRC18_175-M-4,2018,bulk,uf,m,M,0,4,13,12,12,35.5,0.65,3.86,4.74,0.24,2.4,19.75,0.1045,0.0824,141.245,0.141244987,0.1264,0.826252913,16.99175353,0.136560918
WRC18_176,WRC18_176-MF-4,2018,bulk,f,m,MF,0,4,13,13,14,36.8,0.63,4.02,6.36,0.33,3.3,19.2727,0.1331,0.1044,304.001,0.304001023,1.9356,0.068758925,10.85522663,0.135758618
WRC18_177,WRC18_177-C-5,2018,bulk,uf,um,C,1,5,11,12.5,13,25.9,0.74,3.99,2.68,0.15,1.5,17.8667,0.2328,NA,115.2257,0.115225731,-0.0164,-14.21415112,13.01792566,NA
