sample,label,source,treatment,block,temp1_C,temp2_C,temp3_C,moist_percent,mcf,pH,c_percent,n_percent,C_N,n_nh4_ug_gsoil,n_no3_ug_gsoil,p_po4_hcl_ug_gsoil,p-po4_w_ug_gsoil
WRC18_161,WRC18_161-C-1,bulk,C,1,12.0,12.5,10.5,30.2,0.70,3.92,3.36,0.19,17.6842,0.2899,-0.5952,302.7402,1.3776
WRC18_162,WRC18_162-F-1,bulk,F,1,15.5,15.0,13.0,30.5,0.70,3.94,4.21,0.24,17.5417,0.1616,-0.1485,348.9264,1.1809
WRC18_163,WRC18_163-M-1,bulk,M,1,14.0,13.0,10.0,35.6,0.64,4.19,5.39,0.30,17.9667,0.4336,-0.2421,169.5419,-0.0003
WRC18_164,WRC18_164-MF-1,bulk,MF,1,9.5,10.0,13.0,26.4,0.74,4.18,2.59,0.16,16.1875,0.1870,-0.0541,200.5662,0.4525
WRC18_165,WRC18_165-C-2,bulk,C,2,15.0,16.0,16.0,34.5,0.66,3.44,4.82,0.21,22.9524,0.1657,-0.5686,128.7456,0.5129
WRC18_166,WRC18_166-F-2,bulk,F,2,16.0,15.0,15.0,34.1,0.66,3.55,4.41,0.21,21.0000,0.5712,-0.3367,323.0713,4.3280
WRC18_167,WRC18_167-M-2,bulk,M,2,14.0,12.0,14.0,33.6,0.66,3.56,4.72,0.22,21.4545,0.6364,0.0142,117.7729,0.4347
WRC18_168,WRC18_168-MF-2,bulk,MF,2,14.0,14.0,14.0,35.4,0.65,3.77,4.89,0.24,20.3750,0.5527,0.1750,294.1233,5.2838
WRC18_169,WRC18_169-C-3,bulk,C,3,11.0,13.0,13.0,28.4,0.72,4.07,3.45,0.20,17.2500,0.2582,-0.5824,116.1149,0.0260
WRC18_170,WRC18_170-F-3,bulk,F,3,11.0,14.5,14.5,32.2,0.68,3.81,4.52,0.23,19.6522,0.2655,0.3060,312.1478,1.5662
WRC18_171,WRC18_171-M-3,bulk,M,3,11.5,12.0,12.0,23.6,0.76,4.12,2.47,0.15,16.4667,0.2614,0.0759,105.7549,0.0734
WRC18_172,WRC18_172-MF-3,bulk,MF,3,12.0,12.0,12.0,32.1,0.68,4.11,5.45,0.30,18.1667,0.2338,-0.2205,405.0531,1.2257
WRC18_173,WRC18_173-C-4,bulk,C,4,13.0,13.0,13.0,33.0,0.67,3.82,3.88,0.21,18.4762,0.0905,-0.2031,571.8521,0.1346
WRC18_174,WRC18_174-F-4,bulk,F,4,14.0,13.0,13.0,30.7,0.69,3.74,3.76,0.20,18.8000,0.0823,-0.4547,271.1347,6.0827
