timepoint,sample,treatment,source,block
T0,167-M-2,M,bulk,2
T0,168-MF-2,MF,bulk,2
T0,175-M-4,M,bulk,4
T0,176-MF-4,MF,bulk,4
T0,183-M-6,M,bulk,6
T0,184-MF-6,MF,bulk,6
T0,191-M-8,M,bulk,8
T0,192-MF-8,MF,bulk,8
T0,193-M-AV-2,M,grass,2
T0,194-MF-AV-2,MF,grass,2
T0,195-M-AV-4,M,grass,4
T0,196-MF-AV-4,MF,grass,4
T0,197-M-AV-6,M,grass,6
T0,198-MF-AV-6,MF,grass,6
T0,199-M-AV-8,M,grass,8
T0,200-MF-AV-8,MF,grass,8
T0,201-M-EC-2,M,forb,2
T0,202-MF-EC-2,MF,forb,2
T0,203-M-EC-4,M,forb,4
T0,204-MF-EC-4,MF,forb,4
T0,205-M-EC-6,M,forb,6
T0,206-MF-EC-6,MF,forb,6
T0,207-M-EC-8,M,forb,8
T0,208-MF-EC-8,MF,forb,8
T1,167-M-2,M,bulk,2
T1,168-MF-2,MF,bulk,2
T1,175-M-4,M,bulk,4
T1,176-MF-4,MF,bulk,4
T1,183-M-6,M,bulk,6
T1,184-MF-6,MF,bulk,6
T1,191-M-8,M,bulk,8
T1,192-MF-8,MF,bulk,8
T1,193-M-AV-2,M,grass,2
T1,194-MF-AV-2,MF,grass,2
T1,195-M-AV-4,M,grass,4
T1,196-MF-AV-4,MF,grass,4
T1,197-M-AV-6,M,grass,6
T1,198-MF-AV-6,MF,grass,6
T1,199-M-AV-8,M,grass,8
T1,200-MF-AV-8,MF,grass,8
T1,201-M-EC-2,M,forb,2
T1,202-MF-EC-2,MF,forb,2
T1,203-M-EC-4,M,forb,4
T1,204-MF-EC-4,MF,forb,4
T1,205-M-EC-6,M,forb,6
T1,206-MF-EC-6,MF,forb,6
T1,207-M-EC-8,M,forb,8
T1,208-MF-EC-8,MF,forb,8
T2,167-M-2,M,bulk,2
T2,168-MF-2,MF,bulk,2
T2,175-M-4,M,bulk,4
T2,176-MF-4,MF,bulk,4
T2,183-M-6,M,bulk,6
T2,184-MF-6,MF,bulk,6
T2,191-M-8,M,bulk,8
T2,192-MF-8,MF,bulk,8
T2,193-M-AV-2,M,grass,2
T2,194-MF-AV-2,MF,grass,2
T2,195-M-AV-4,M,grass,4
T2,196-MF-AV-4,MF,grass,4
T2,197-M-AV-6,M,grass,6
T2,198-MF-AV-6,MF,grass,6
T2,199-M-AV-8,M,grass,8
T2,200-MF-AV-8,MF,grass,8
T2,201-M-EC-2,M,forb,2
T2,202-MF-EC-2,MF,forb,2
T2,203-M-EC-4,M,forb,4
T2,204-MF-EC-4,MF,forb,4
T2,205-M-EC-6,M,forb,6
T2,206-MF-EC-6,MF,forb,6
T2,207-M-EC-8,M,forb,8
T2,208-MF-EC-8,MF,forb,8
T3,167-M-2,M,bulk,2
T3,168-MF-2,MF,bulk,2
T3,175-M-4,M,bulk,4
T3,176-MF-4,MF,bulk,4
T3,183-M-6,M,bulk,6
T3,184-MF-6,MF,bulk,6
T3,191-M-8,M,bulk,8
T3,192-MF-8,MF,bulk,8
T3,193-M-AV-2,M,grass,2
T3,194-MF-AV-2,MF,grass,2
T3,195-M-AV-4,M,grass,4
T3,196-MF-AV-4,MF,grass,4
T3,197-M-AV-6,M,grass,6
T3,198-MF-AV-6,MF,grass,6
T3,199-M-AV-8,M,grass,8
T3,200-MF-AV-8,MF,grass,8
T3,201-M-EC-2,M,forb,2
T3,202-MF-EC-2,MF,forb,2
T3,203-M-EC-4,M,forb,4
T3,204-MF-EC-4,MF,forb,4
T3,205-M-EC-6,M,forb,6
T3,206-MF-EC-6,MF,forb,6
T3,207-M-EC-8,M,forb,8
T3,208-MF-EC-8,MF,forb,8
T4,167-M-2,M,bulk,2
T4,168-MF-2,MF,bulk,2
T4,175-M-4,M,bulk,4
T4,176-MF-4,MF,bulk,4
T4,183-M-6,M,bulk,6
T4,184-MF-6,MF,bulk,6
T4,191-M-8,M,bulk,8
T4,192-MF-8,MF,bulk,8
T4,193-M-AV-2,M,grass,2
T4,194-MF-AV-2,MF,grass,2
T4,195-M-AV-4,M,grass,4
T4,196-MF-AV-4,MF,grass,4
T4,197-M-AV-6,M,grass,6
T4,198-MF-AV-6,MF,grass,6
T4,199-M-AV-8,M,grass,8
T4,200-MF-AV-8,MF,grass,8
T4,201-M-EC-2,M,forb,2
T4,202-MF-EC-2,MF,forb,2
T4,203-M-EC-4,M,forb,4
T4,204-MF-EC-4,MF,forb,4
T4,205-M-EC-6,M,forb,6
T4,206-MF-EC-6,MF,forb,6
T4,207-M-EC-8,M,forb,8
T4,208-MF-EC-8,MF,forb,8
T5,167-M-2,M,bulk,2
T5,168-MF-2,MF,bulk,2
T5,175-M-4,M,bulk,4
T5,176-MF-4,MF,bulk,4
T5,183-M-6,M,bulk,6
T5,184-MF-6,MF,bulk,6
T5,191-M-8,M,bulk,8
T5,192-MF-8,MF,bulk,8
T5,193-M-AV-2,M,grass,2
T5,194-MF-AV-2,MF,grass,2
T5,195-M-AV-4,M,grass,4
T5,196-MF-AV-4,MF,grass,4
T5,197-M-AV-6,M,grass,6
T5,198-MF-AV-6,MF,grass,6
T5,199-M-AV-8,M,grass,8
T5,200-MF-AV-8,MF,grass,8
T5,201-M-EC-2,M,forb,2
T5,202-MF-EC-2,MF,forb,2
T5,203-M-EC-4,M,forb,4
T5,204-MF-EC-4,MF,forb,4
T5,205-M-EC-6,M,forb,6
T5,206-MF-EC-6,MF,forb,6
T5,207-M-EC-8,M,forb,8
T5,208-MF-EC-8,MF,forb,8
T6,167-M-2,M,bulk,2
T6,168-MF-2,MF,bulk,2
T6,175-M-4,M,bulk,4
T6,176-MF-4,MF,bulk,4
T6,183-M-6,M,bulk,6
T6,184-MF-6,MF,bulk,6
T6,191-M-8,M,bulk,8
T6,192-MF-8,MF,bulk,8
T6,193-M-AV-2,M,grass,2
T6,194-MF-AV-2,MF,grass,2
T6,195-M-AV-4,M,grass,4
T6,196-MF-AV-4,MF,grass,4
T6,197-M-AV-6,M,grass,6
T6,198-MF-AV-6,MF,grass,6
T6,199-M-AV-8,M,grass,8
T6,200-MF-AV-8,MF,grass,8
T6,201-M-EC-2,M,forb,2
T6,202-MF-EC-2,MF,forb,2
T6,203-M-EC-4,M,forb,4
T6,204-MF-EC-4,MF,forb,4
T6,205-M-EC-6,M,forb,6
T6,206-MF-EC-6,MF,forb,6
T6,207-M-EC-8,M,forb,8
T6,208-MF-EC-8,MF,forb,8
T7,167-M-2,M,bulk,2
T7,168-MF-2,MF,bulk,2
T7,175-M-4,M,bulk,4
T7,176-MF-4,MF,bulk,4
T7,183-M-6,M,bulk,6
T7,184-MF-6,MF,bulk,6
T7,191-M-8,M,bulk,8
T7,192-MF-8,MF,bulk,8
T7,193-M-AV-2,M,grass,2
T7,194-MF-AV-2,MF,grass,2
T7,195-M-AV-4,M,grass,4
T7,196-MF-AV-4,MF,grass,4
T7,197-M-AV-6,M,grass,6
T7,198-MF-AV-6,MF,grass,6
T7,199-M-AV-8,M,grass,8
T7,200-MF-AV-8,MF,grass,8
T7,201-M-EC-2,M,forb,2
T7,202-MF-EC-2,MF,forb,2
T7,203-M-EC-4,M,forb,4
T7,204-MF-EC-4,MF,forb,4
T7,205-M-EC-6,M,forb,6
T7,206-MF-EC-6,MF,forb,6
T7,207-M-EC-8,M,forb,8
T7,208-MF-EC-8,MF,forb,8
T8,167-M-2,M,bulk,2
T8,168-MF-2,MF,bulk,2
T8,175-M-4,M,bulk,4
T8,176-MF-4,MF,bulk,4
T8,183-M-6,M,bulk,6
T8,184-MF-6,MF,bulk,6
T8,191-M-8,M,bulk,8
T8,192-MF-8,MF,bulk,8
T8,193-M-AV-2,M,grass,2
T8,194-MF-AV-2,MF,grass,2
T8,195-M-AV-4,M,grass,4
T8,196-MF-AV-4,MF,grass,4
T8,197-M-AV-6,M,grass,6
T8,198-MF-AV-6,MF,grass,6
T8,199-M-AV-8,M,grass,8
T8,200-MF-AV-8,MF,grass,8
T8,201-M-EC-2,M,forb,2
T8,202-MF-EC-2,MF,forb,2
T8,203-M-EC-4,M,forb,4
T8,204-MF-EC-4,MF,forb,4
T8,205-M-EC-6,M,forb,6
T8,206-MF-EC-6,MF,forb,6
T8,207-M-EC-8,M,forb,8
T8,208-MF-EC-8,MF,forb,8
T9,167-M-2,M,bulk,2
T9,168-MF-2,MF,bulk,2
T9,175-M-4,M,bulk,4
T9,176-MF-4,MF,bulk,4
T9,183-M-6,M,bulk,6
T9,184-MF-6,MF,bulk,6
T9,191-M-8,M,bulk,8
T9,192-MF-8,MF,bulk,8
T9,193-M-AV-2,M,grass,2
T9,194-MF-AV-2,MF,grass,2
T9,195-M-AV-4,M,grass,4
T9,196-MF-AV-4,MF,grass,4
T9,197-M-AV-6,M,grass,6
