"","sample","2-hydroxy-benzoic acid","4-hydroxy-benzoic acid","alpha-Cyclodextrin","alpha-D-Lactose","alpha-Keto-Butyric acid","beta-methyl-D-glucoside","D-Cellobiose","D-Galactonic acid y-Lactone","D-Galacturonic acid","D-Glucosaminic acid","D-Malic acid","D-mannitol","D-Xylose","D, L-alpha-Glycerol Phosphate","Glucose-1-Phosphate","Glycogen","Glycyl-L-Glutamic acid","i-Erythritol","Itaconic acid","L-Arginine","L-asparagine","L-phenylalanine","L-serine","L-Threonine","N-Acetyl-D-Glucosamine","Phenylethylamine","Putrescine","Pyruvic acid methyl ester","Tween 40","Tween 80","y-Amino-Butyric acid"
"1","167-M-2",0.606,3.772,0.033,0.005,0.102,2.619,2.202,4.277,5.659,3.201,4.17,5.707,1.956,1.275,0.973,0.894,0.181,0.186,3.904,3.647,5.328,2.735,3.818,0.702,5.003,0.801,2.074,3.421,4.691,3.162,5.694
"2","168-MF-2",0,1.848,0.104,2.432,0,5.86,6.876,2.507,4.21,1.637,4.294,6.803,5.021,0.77,4.893,1.829,0,0,1.879,1.51,5.118,1.64,3.211,0.225,6.102,0.257,0.611,2.766,5.136,3.479,1.458
"3","175-M-4",0.191,4.214,0.906,0.81,0.02,3.015,1.867,2.925,4.939,2.91,4.148,4.169,1.636,1.084,1.809,2.299,0.215,0.091,1.971,4.578,6.267,1.943,4.376,0.607,5.987,1.515,2.527,3.143,5.128,3.525,4.147
"4","176-MF-4",0.083,2.765,0.197,1.18,0.237,5.954,6.189,4.016,4.964,2.509,4.131,6.004,2.68,0.583,2.639,1.186,0.21,0.432,2.67,3.056,6.084,1.499,4.141,0.223,5.677,1.156,2.723,3.031,4.011,2.728,3.857
"5","183-M-6",0.113,2.998,0.133,0.059,0.05,3.992,7.12,2.652,4.827,1.538,3.03,5.668,1.63,1.432,1.262,1.499,0.632,0.552,2.506,4.585,5.715,1.665,4.086,0.613,6.017,3.582,1.687,3.493,5.286,3.451,5.679
"6","184-MF-6",0.029,4.808,1.004,0.286,0,4.968,4.68,3.775,5.648,3.612,3.923,5.101,3.566,0.41,2.643,1.839,0.192,0.141,3.265,4.743,6.031,1.931,4.141,0.078,5.623,2.36,3.115,3.047,4.389,2.275,5.512
"7","191-M-8",0.242,4.683,0.242,1.071,0.068,5.109,3.774,3.612,6.095,3.804,4.689,4.806,1.067,1.217,1.847,0.981,0.188,0.735,3.22,2.915,4.419,1.596,1.952,0.385,5.653,1.976,2.552,4.386,5.592,3.452,5.193
"8","192-MF-8",0.035,3.957,0.272,0.263,0.093,5.193,1.977,4.708,5.846,5.327,3.862,5.131,1.035,0.89,1.526,1.307,0.059,0.199,3.809,2.743,5.776,1.575,4.759,0.194,6.355,4.799,2.901,3.6,4.841,3.194,6.77
"9","197-M-AV-6",0.455,3.629,0.889,0.524,0.174,4.209,5.975,3.665,4.418,3.813,3.423,5.681,4.702,1.295,2.872,2.276,0.697,0.316,2.486,2.238,4.037,1.951,3.786,0.563,5.613,1.43,2.799,2.578,5.241,3.504,5.332
"10","193-M-AV-2",0.188,4.369,0.503,2.283,0.239,4.473,5.628,3.21,4.881,4.406,5.807,4.908,2.552,0.923,3.893,1.142,0.286,1.546,4.563,6.707,6.812,2.05,3.603,0.36,6.005,2.595,3.414,2.91,4.738,2.66,7.426
