plate_type,Row,Well,Substance,group
ECO,A,1,water,c_control
ECO,B,1,Pyruvic acid methyl ester,modified carboxylic acids 
ECO,C,1,Tween 40,polymer
ECO,D,1,Tween 80,polymer
ECO,E,1,alpha-Cyclodextrin,polysaccharides
ECO,F,1,Glycogen,polysaccharides
ECO,G,1,D-Cellobiose,oligosaccharides
ECO,H,1,alpha-D-Lactose,oligosaccharides
ECO,A,2,beta-methyl-D-glucoside,glycosides
ECO,B,2,D-Xylose,monosaccharides
ECO,C,2,i-Erythritol,sugar alcohols
ECO,D,2,D-mannitol,sugar alcohols
ECO,E,2,N-Acetyl-D-Glucosamine,modified sugars
ECO,F,2,D-Glucosaminic acid,sugar acids
ECO,G,2,Glucose-1-Phosphate,phospho-sugars
ECO,H,2,"D, L-alpha-Glycerol Phosphate",phospho-sugars
ECO,A,3,D-Galactonic acid y-Lactone,sugar acids
ECO,B,3,D-Galacturonic acid,sugar acids
ECO,C,3,2-hydroxy-benzoic acid,modified carboxylic acids 
ECO,D,3,4-hydroxy-benzoic acid,modified carboxylic acids 
ECO,E,3,y-Amino-Butyric acid,modified carboxylic acids 
ECO,F,3,Itaconic acid,carboxylic acids
ECO,G,3,alpha-Keto-Butyric acid,modified carboxylic acids 
ECO,H,3,D-Malic acid,carboxylic acids
ECO,A,4,L-Arginine,L-Amino acid
ECO,B,4,L-asparagine,L-Amino acid
ECO,C,4,L-phenylalanine,L-Amino acid
ECO,D,4,L-serine,L-Amino acid
ECO,E,4,L-Threonine,L-Amino acid
ECO,F,4,Glycyl-L-Glutamic acid,oligopeptides
ECO,G,4,Phenylethylamine,amine
ECO,H,4,Putrescine,amine
ECO,A,5,water,c_control
ECO,B,5,Pyruvic acid methyl ester,modified carboxylic acids 
ECO,C,5,Tween 40,polymer
ECO,D,5,Tween 80,polymer
ECO,E,5,alpha-Cyclodextrin,polysaccharides
ECO,F,5,Glycogen,polysaccharides
ECO,G,5,D-Cellobiose,oligosaccharides
ECO,H,5,alpha-D-Lactose,oligosaccharides
ECO,A,6,beta-methyl-D-glucoside,glycosides
ECO,B,6,D-Xylose,monosaccharides
ECO,C,6,i-Erythritol,sugar alcohols
ECO,D,6,D-mannitol,sugar alcohols
ECO,E,6,N-Acetyl-D-Glucosamine,modified sugars
ECO,F,6,D-Glucosaminic acid,sugar acids
ECO,G,6,Glucose-1-Phosphate,phospho-sugars
ECO,H,6,"D, L-alpha-Glycerol Phosphate",phospho-sugars
