OTU_ID,AP01-FM-A,AP02-FM-B,AP09-WRC18-167,AP10-WRC18-168,AP17-WRC18-175,AP18-WRC18-176,AP25-WRC18-183,AP26-WRC18-184,AP33-WRC18-191,AP34-WRC18-192,AP35-WRC18-193,AP36-WRC18-194,AP37-WRC18-195,AP38-WRC18-196,AP39-WRC18-197,AP40-WRC18-198,AP41-WRC18-199,AP42-WRC18-200,AP43-WRC18-201,AP44-WRC18-202,AP45-WRC18-203,AP46-WRC18-204,AP47-WRC18-205,AP48-WRC18-206,AP49-WRC18-207,AP50-WRC18-208
OTU1,0,0,684,766,659,549,460,283,554,627,620,559,170,511,357,814,191,2024,528,536,261,477,168,279,597,499
OTU3,0,0,1344,524,1036,394,1169,503,826,787,539,393,488,198,916,454,466,931,855,223,632,268,412,225,429,463
OTU2,0,0,435,119,309,98,266,184,375,980,144,582,199,253,281,358,359,1087,235,205,288,471,160,185,587,986
OTU25,0,0,181,27,253,33,409,16,399,36,167,178,879,65,704,14,576,55,525,18,1242,97,853,4,777,11
OTU14,0,0,0,0,0,681,0,2,0,0,0,0,0,34,0,8,0,0,0,0,0,1533,0,1308,6,0
OTU4,0,0,49,193,50,237,73,188,12,514,317,12,5,234,46,159,10,157,42,184,30,171,56,246,7,258
OTU20,0,0,0,1,7,0,0,1479,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OTU5,0,0,34,65,98,65,121,27,10,33,121,8,91,149,60,33,95,11,37,78,202,97,97,53,118,54
OTU7,0,0,1725,699,1121,114,4,16,134,43,183,524,147,6,67,36,69,16,1020,22,72,6,129,46,32,97
OTU22,0,0,63,97,179,103,220,109,54,185,187,129,564,240,210,113,85,165,110,366,394,259,431,128,317,412
OTU16,0,0,1,1105,2,102,0,159,0,0,883,0,0,1,0,0,0,0,0,111,0,0,0,111,0,0
OTU6,0,0,0,0,267,280,0,147,0,0,0,0,0,15,0,298,0,0,0,0,0,272,0,73,0,0
OTU10,0,0,0,17,1,3263,0,37,0,3,112,2,4,120,7,7,0,0,0,212,5,146,0,388,0,0
OTU27,0,0,15,30,0,395,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1017,5,0
OTU12,0,0,0,429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1113,0,0,0,0,0,0
OTU9,0,0,21,67,127,68,43,108,41,129,38,9,53,216,50,82,148,48,13,96,83,255,46,167,269,245
OTU15,0,0,0,25,0,104,0,416,0,384,348,0,1,664,0,141,0,5,0,595,0,148,0,314,2,58
OTU8,736,1928,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU19,0,0,34,80,45,26,33,90,17,155,105,106,58,172,52,131,139,78,22,130,36,165,48,88,47,248
OTU13,1601,1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
