OTU_ID	kingdom	phylum	class	order	family	genus	species
OTU1	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Trichocomaceae	g__Talaromyces	
OTU3	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	
OTU33	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Thelephorales	f__Thelephoraceae	g__Thelephora	s__Thelephora_corticioides
OTU25	k__Fungi	p__Ascomycota					
OTU117	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	
OTU99	k__Fungi	p__Ascomycota					
OTU43	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Amanitaceae	g__Amanita	
OTU5	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Thermoascaceae	g__unidentified	s__unidentified
OTU110	k__Fungi	p__Ascomycota					
OTU82	k__Fungi	p__Ascomycota					
OTU158	k__Fungi	p__Ascomycota					
OTU71	k__Fungi	p__Ascomycota					
OTU98	k__Fungi	p__Ascomycota					
OTU21	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	
OTU247	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Atheliales	f__Atheliaceae	g__Tylospora	s__unidentified
OTU54	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Trichocomaceae	g__Talaromyces	
OTU6	k__Fungi	p__Ascomycota					
OTU109	k__Fungi	p__Ascomycota					
OTU4	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Trimorphomycetaceae	g__Saitozyma	s__Saitozyma_podzolica
OTU332	k__Fungi	p__Ascomycota					
OTU182	k__Fungi	p__Mucoromycota	c__Umbelopsidomycetes	o__Umbelopsidales	f__Umbelopsidaceae	g__Umbelopsis	s__Umbelopsis_dimorpha
OTU252	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Ophiocordycipitaceae	g__Tolypocladium	
OTU97	k__Fungi	p__Ascomycota					
OTU129	k__Fungi	p__Ascomycota					
OTU39	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales			
OTU19	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreaceae	g__Trichoderma	
OTU30	k__Fungi						
OTU9	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreaceae	g__Trichoderma	
OTU2	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	
OTU276	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales			
OTU607	k__Fungi	p__Ascomycota	c__Ascomycota_cls_Incertae_sedis	o__Ascomycota_ord_Incertae_sedis	f__Ascomycota_fam_Incertae_sedis	g__Pulchromyces	s__Pulchromyces_fimicola
OTU85	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariomycetes_ord_Incertae_sedis	f__Sordariomycetes_fam_Incertae_sedis	g__Arthropsis	s__Arthropsis_hispanica
OTU426	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Entolomataceae	g__Entoloma	
OTU49	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Hydnangiaceae	g__Laccaria	
OTU181	k__Fungi	p__Ascomycota					
OTU159	k__Fungi	p__Ascomycota					
OTU302	k__Fungi	p__Basidiomycota					
OTU160	k__Fungi	p__Ascomycota					
OTU59	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Ophiocordycipitaceae	g__Tolypocladium	s__Tolypocladium_album
OTU2368	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	
OTU744	k__Fungi	p__Basidiomycota	c__Agaricomycetes				
OTU221	k__Fungi	p__Ascomycota					
OTU268	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Strophariaceae	g__Hypholoma	s__Hypholoma_fasciculare
OTU248	k__Fungi	p__Ascomycota					
OTU429	k__Fungi	p__Ascomycota					
OTU354	k__Fungi	p__Ascomycota					
OTU250	k__Fungi	p__Ascomycota					
OTU7	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Aspergillus	s__Aspergillus_cervinus
OTU93	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Leotiomycetes_ord_Incertae_sedis	f__Leotiomycetes_fam_Incertae_sedis	g__Leohumicola	s__Leohumicola_verrucosa
OTU275	k__Fungi	p__Ascomycota					
OTU92	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU425	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Atheliales	f__Atheliaceae	g__Tylospora	s__unidentified
OTU47	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__Mortierella_humilis
OTU116	k__Fungi						
OTU46	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Ophiocordycipitaceae	g__Tolypocladium	
OTU331	k__Fungi						
OTU75	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	
OTU61	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Ophiocordycipitaceae	g__Tolypocladium	
OTU335	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Boletales	f__Suillaceae	g__Suillus	s__Suillus_cothurnatus
OTU115	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Entolomataceae	g__Clitopilus	s__Clitopilus_prunulus
OTU1083	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae		
OTU400	k__Fungi	p__Ascomycota					
OTU368	k__Fungi						
OTU130	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Chaetomiaceae		
OTU153	k__Fungi	p__Ascomycota					
OTU45	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Magnaporthales	f__Magnaporthaceae		
OTU745	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales			
OTU114	k__Fungi	p__Ascomycota					
OTU367	k__Fungi	p__Ascomycota					
OTU28	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Clavicipitaceae		
OTU89	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	
OTU58	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	s__Penicillium_spinulosum
OTU549	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Tricholomataceae		
OTU602	k__Fungi	p__Glomeromycota	c__Archaeosporomycetes	o__Archaeosporales	f__unidentified	g__unidentified	s__unidentified
OTU212	k__Fungi	p__Basidiomycota	c__Geminibasidiomycetes	o__Geminibasidiales	f__Geminibasidiaceae	g__Geminibasidium	s__unidentified
OTU379	k__Fungi						
OTU1254	k__Fungi						
OTU1577	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Cantharellales	f__Ceratobasidiaceae		
OTU337	k__Fungi						
OTU74	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Trichocomaceae	g__Talaromyces	
OTU371	k__Fungi	p__Ascomycota					
OTU105	k__Fungi	p__Ascomycota					
OTU787	k__Fungi	p__Ascomycota					
OTU497	k__Fungi	p__Ascomycota					
OTU609	k__Fungi	p__Ascomycota					
OTU392	k__Fungi	p__Ascomycota					
OTU95	k__Fungi	p__Basidiomycota					
OTU300	k__Fungi	p__Ascomycota					
OTU604	k__Fungi						
OTU186	k__Fungi						
OTU185	k__Fungi	p__Ascomycota					
OTU111	k__Fungi	p__Ascomycota					
OTU37	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	
OTU1181	k__Fungi						
OTU249	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Auriculariales			
OTU1542	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Rhytismatales	f__Rhytismataceae	g__Lophodermium	s__unidentified
OTU1571	k__Fungi	p__Ascomycota					
OTU208	k__Fungi	p__Ascomycota	c__Ascomycota_cls_Incertae_sedis	o__Ascomycota_ord_Incertae_sedis	f__Ascomycota_fam_Incertae_sedis	g__Sympodiella	s__Sympodiella_acicola
OTU40	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	
OTU173	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Mycosphaerellaceae	g__Zasmidium	s__Zasmidium_nocoxi
OTU144	k__Fungi	p__Ascomycota					
OTU600	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Atheliales	f__Atheliaceae	g__Athelia	s__Athelia_acrospora
OTU224	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales			
OTU50	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Trichocomaceae	g__Sagenomella	s__Sagenomella_striatispora
OTU346	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Mycosphaerellaceae		
OTU1591	k__Fungi	p__Ascomycota					
OTU1563	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales	f__Serendipitaceae	g__unidentified	s__unidentified
OTU1569	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Trichosporonales	f__Trichosporonaceae		
OTU287	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Boletales	f__Suillaceae	g__Suillus	s__Suillus_decipiens
OTU370	k__Fungi	p__Ascomycota					
OTU62	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Piskurozymaceae	g__Solicoccozyma	s__Solicoccozyma_terricola
OTU178	k__Fungi	p__Ascomycota					
OTU125	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Lachnum	
OTU215	k__Fungi	p__Ascomycota	c__Lecanoromycetes				
OTU334	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	
OTU434	k__Fungi	p__Ascomycota					
OTU500	k__Fungi	p__Ascomycota					
OTU1005	k__Fungi	p__Basidiomycota	c__Agaricomycetes				
OTU1030	k__Fungi						
OTU1112	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Arachnopeziza	s__unidentified
OTU750	k__Fungi	p__Ascomycota					
OTU611	k__Fungi	p__Ascomycota					
OTU127	k__Fungi						
OTU193	k__Fungi	p__Ascomycota					
OTU139	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Chaetosphaeriales	f__Chaetosphaeriaceae		
OTU496	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__unidentified	f__unidentified	g__unidentified	s__unidentified
OTU361	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Strophariaceae	g__Psilocybe	s__Psilocybe_yungensis
OTU372	k__Fungi	p__Glomeromycota	c__Glomeromycetes	o__Glomerales	f__Glomeraceae	g__unidentified	s__unidentified
OTU1211	k__Fungi						
OTU1543	k__Fungi						
OTU138	k__Fungi						
OTU423	k__Fungi	p__Ascomycota					
OTU1560	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Mycosphaerellaceae	g__Cercospora	s__Cercospora_smilacis
OTU91	k__Fungi	p__Ascomycota					
OTU76	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	s__Penicillium_lividum
OTU578	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Lachnum	
OTU1017	k__Fungi						
OTU1596	k__Fungi	p__Mucoromycota	c__Endogonomycetes	o__GS22	f__unidentified	g__unidentified	s__unidentified
OTU170	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Chaetomiaceae	g__Chaetomium	s__Chaetomium_homopilatum
OTU369	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	
OTU1014	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	
OTU279	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Bionectriaceae	g__Clonostachys	
OTU499	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales			
OTU599	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Coniochaetales	f__Coniochaetaceae	g__Lecythophora	s__Lecythophora_fasciculata
OTU743	k__Fungi	p__Basidiomycota					
OTU619	k__Fungi	p__Mucoromycota					
OTU1016	k__Fungi	p__Ascomycota					
OTU1573	k__Fungi	p__Basidiomycota	c__Pucciniomycetes	o__Platygloeales	f__unidentified	g__unidentified	s__unidentified
OTU605	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Psathyrellaceae	g__Psathyrella	
OTU747	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Phaeomoniellales	f__Phaeomoniellales_fam_Incertae_sedis	g__unidentified	s__unidentified
OTU795	k__Fungi	p__Ascomycota					
OTU952	k__Fungi	p__Glomeromycota	c__Archaeosporomycetes	o__Archaeosporales	f__unidentified	g__unidentified	s__unidentified
OTU24	k__Fungi	p__Ascomycota	c__Sordariomycetes				
OTU264	k__Fungi	p__Ascomycota					
OTU343	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__Mortierella_angusta
OTU424	k__Fungi	p__Ascomycota					
OTU1133	k__Fungi						
OTU123	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	
OTU223	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Piskurozymaceae	g__Solicoccozyma	s__Solicoccozyma_terrea
OTU176	k__Fungi	p__Ascomycota					
OTU1588	k__Fungi	p__Ascomycota	c__Sordariomycetes				
OTU397	k__Fungi	p__Ascomycota					
