sample,treatment,Agalinus.purpurea,Aster.novi.belgii,Bidens.bipinnata,Chamaecrista.fasciculata,Clematis.dioscoreifolia,Erechtites.graminifolia,Eupatorium.capillifolium,Eupatorium.pilosum,Eupatorium.recurvans,Eupatorium.rotundifolium,Eupatorium.semiserratum,Euthamia.caroliniana,Gelsemium.sempervirens,Gnaphalium.purpureum,Gratiola.pilosa,Hypericum.sp.,Lespedeza.cuneata,Lespedeza.capitata,Lespedeza.hirta,Lobelia.nuttallii,Ludwigia.alternifolia,Ludwigia.hirtella,Lycopodium....club.moss,Osmunda.regalis...Royal.fern,Packera.tomentosa,Polygala.cruciata,Polygala.lutea,Pteridium.aquilinum,Pycnanthemum.flexuosum,Rhexia.mariana,Rhexia.virginica,Rhus.radicans..poison.ivy,Rubus.hispidus.dewberry,Scutellaria.integrifolia,Smilax.glauca,Smilax.rotundifolia,Solanum.carolinense,Solidago.pinetorum,Solidago.puberula,Solidago.rugosa,Solidago.stricta,Sphagnum.sp.moss,Viola.primulifolia,Acer.rubrum.RED.MAPLE,Amelanchier.canadensis,Aronia.arbutifolia,Clethra.alnifolia,Crataegus.sp.,Cyrilla.racemiflora.TITI,Ilex.glabra.INKBERRY,Itea.virginica,Liquidambar.styraciflua.SWEET.GUM,Magnolia.virginiana,Nyssa.sylvatica.BLACK.GUM,Pinus.taeda.LOBLOLLY.PINE,Prunus.serotina.BLACK.CHERRY,Rhus.copallinum.WINGED.SUMAC,Rubus.argutus.BLACKBERRY,Symplocos.tinctoria.HORSE.SUGAR,Vaccinium.sp,Viburnum.nudum,Agrostis.hiemalis,Amphicarpum.purshii.goober.grass,Andropogon.virginicus.BROOMSEDGE,Andropogon.glaucopsis,Aristida.virgata.THREE.AWN.GRASS,Arundinaria.tecta.SWITCHCANE,Calamagrostis.coarctata,Chasmanthium.laxum,Dichanthelium.lucidum,Dichanthelium.scabriusculum,Dichanthelium.scoparium,Juncus.biflorus,Juncus.canadensis,Juncus.dichotomous,Juncus.effusus,Carex.glaucescens,Rhynchospora.inexpansa,Saccharaum.giganteum,Scirpus.cyperinus.BULLRUSH,Scleria.minor.NUTRUSH,Unknown.grass,Unknown,plot_sum
WRC18_161,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11627907,0,0.093023256,0.248062016,0,0,0,0.015503876,0,0,0,0.015503876,0.007751938,0,0.372093023,0,0,0.007751938,0.007751938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07751938,0.03875969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WRC18_162,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023255814,0,0.310077519,0.410852713,0,0,0,0,0,0,0,0,0,0.007751938,0.147286822,0,0,0,0,0,0,0,0,0,0,0,0.007751938,0,0,0,0,0,0,0,0.054263566,0,0.03875969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WRC18_163,M,0,0,0,0,0,0,0,0,0,0.019384265,0,0.05359179,0,0,0.001140251,0,0,0,0.015963512,0,0,0,0,0,0.037628278,0,0,0,0.004561003,0.006841505,0,0,0.003420753,0,0.087799316,0.050171038,0,0,0,0.061573546,0.002280502,0,0,0.001140251,0.001140251,0.002280502,0.03990878,0,0,0,0,0,0,0,0,0,0.005701254,0.005701254,0,0,0,0,0,0.007981756,0,0,0.062713797,0,0.18700114,0.060433295,0,0.281641961,0,0,0,0,0,0,0,0,0,0,0,1
WRC18_164,MF,0,0,0,0,0,0,0.034423408,0,0,0.008605852,0,0.075731497,0,0,0,0,0,0,0,0.003442341,0,0,0,0,0,0,0,0,0,0,0,0,0.00172117,0,0.039586919,0.017211704,0,0,0,0.091222031,0,0,0,0,0,0,0.017211704,0,0,0,0,0,0,0,0,0,0.024096386,0.008605852,0,0,0,0,0,0,0,0,0.471600688,0,0.103270224,0.024096386,0,0.053356282,0,0,0.024096386,0,0,0,0,0,0,0.00172117,0,1
WRC18_165,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084337349,0,0,0,0,0,0,0.108433735,0.036144578,0,0,0,0,0,0,0,0,0.024096386,0.048192771,0.156626506,0,0.012048193,0.012048193,0.060240964,0.012048193,0,0,0,0,0,0,0.012048193,0,0,0,0,0,0,0,0,0,0.43373494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WRC18_166,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037974684,0.069620253,0,0,0,0,0,0,0,0,0,0.069620253,0.101265823,0,0,0,0,0,0,0,0,0,0,0,0,0.006329114,0,0,0,0,0,0,0.14556962,0,0.569620253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WRC18_167,M,0,0,0,0,0,0,0,0.010723861,0.00536193,0.050938338,0.002680965,0.117962466,0,0,0.001340483,0,0,0.006702413,0,0.004021448,0,0,0,0,0.009383378,0.001340483,0,0.013404826,0.001340483,0.018766756,0,0,0.022788204,0,0.038873995,0,0,0,0,0,0.113941019,0,0,0,0,0.026809651,0,0,0.001340483,0,0,0.018766756,0,0.001340483,0,0,0.001340483,0.001340483,0,0,0,0,0,0.063002681,0,0.022788204,0.150134048,0,0.162198391,0.064343164,0.029490617,0,0,0,0,0,0,0.028150134,0,0,0,0,0.009383378,1
WRC18_168,MF,0,0,0,0,0,0,0,0,0,0.052030457,0,0.123096447,0,0,0.001269036,0,0,0,0,0,0,0,0,0,0.019035533,0,0,0.001269036,0,0.010152284,0,0,0.044416244,0,0.040609137,0.006345178,0,0,0,0.02284264,0.026649746,0,0,0,0.005076142,0.003807107,0.049492386,0,0.002538071,0,0,0.005076142,0,0,0,0,0.003807107,0.002538071,0,0,0,0,0,0.003807107,0,0,0.092639594,0,0.257614213,0.109137056,0,0.019035533,0,0,0.069796954,0,0.002538071,0.025380711,0,0,0,0,0,1
WRC18_169,C,0,0,0,0,0,0,0,0,0,0.00952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038095238,0,0.180952381,0.104761905,0,0,0,0,0,0,0,0,0.00952381,0.00952381,0.476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WRC18_170,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017857143,0,0.017857143,0.214285714,0,0,0,0,0,0,0,0,0.035714286,0,0.107142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232142857,0,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
