"","sample","source","treatment","block","ditch","Percent_Loss","temp_degC","moisture","pH","c_percent","n_percent","C_N","n_nh4_ug_gsoil","n_no3_ug_gsoil","p_po4_hcl_ug_gsoil","p_po4_w_ug_gsoil","richness","shannon","simp.even","J"
"WRC18_01_Tea","WRC18_Tea_1","green_tea","M",1,1,66.855,12.3,35.6,4.19,5.39,0.3,17.97,0.434,0,169.542,0,1297,4.9049064482306,0.0385434034932925,0.697188227999115
"WRC18_02_Tea","WRC18_Tea_2","green_tea","MF",1,1,72.23,10.8,26.4,4.18,2.59,0.16,16.19,0.187,0,200.566,0.453,1648,5.3798180496399,0.037071910961918,0.73670943982386
"WRC18_03_Tea","WRC18_Tea_3","green_tea","M",2,0,58,13.3,33.6,3.56,4.72,0.22,21.45,0.636,0.014,117.773,0.435,1137,4.69130228627094,0.0397998461138369,0.685273824804002
"WRC18_04_Tea","WRC18_Tea_4","green_tea","MF",2,0,62.77,14,35.4,3.77,4.89,0.24,20.38,0.553,0.175,294.123,5.284,1534,5.37886565136997,0.0490875908527358,0.744505085402041
"WRC18_05_Tea","WRC18_Tea_5","green_tea","M",3,1,58.585,11.8,23.6,4.12,2.47,0.15,16.47,0.261,0.076,105.755,0.073,1596,4.82280339447783,0.0121684410274285,0.66640376664999
"WRC18_06_Tea","WRC18_Tea_6","green_tea","MF",3,1,64.14,12,32.1,4.11,5.45,0.3,18.17,0.234,0,405.053,1.226,2377,6.20398007277508,0.0772477218631628,0.80769432493113
"WRC18_07_Tea","WRC18_Tea_7","green_tea","M",4,0,57.075,12.3,35.5,3.86,4.74,0.24,19.75,0.105,0.082,141.245,0.126,1195,4.60213353306503,0.0377888354175544,0.668578273694541
"WRC18_08_Tea","WRC18_Tea_8","green_tea","MF",4,0,59.6,13.3,36.8,4.02,6.36,0.33,19.27,0.133,0.104,304.001,1.936,2032,5.81690823635864,0.0557614699692905,0.774116463324597
"WRC18_09_Tea","WRC18_Tea_9","green_tea","M",5,1,60.435,11.8,27.6,4.16,3.78,0.21,18,0.296,0,101.65,-0.054,1923,5.28315369061853,0.0312190629206459,0.717438314506267
"WRC18_11_Tea","WRC18_Tea_11","green_tea","M",6,0,54.79,15,34.1,4.11,4.62,0.24,19.25,0.081,0.179,115.138,0.093,1640,4.93187605232086,0.0271134281471779,0.686086933667676
"WRC18_12_Tea","WRC18_Tea_12","green_tea","M",7,1,58.32,14,27.6,3.91,3.05,0.18,16.94,0.2,0,115.97,0.085,1429,4.51336029699522,0.0126793464219777,0.632223614339594
"WRC18_14_Tea","WRC18_Tea_14","green_tea","M",8,0,53.085,12.7,34.3,4.01,3.67,0.2,18.35,0.221,0.268,121.264,0.113,1704,4.54027641438926,0.0119715037435779,0.638733887741894
"WRC18_15_Tea","WRC18_Tea_15","green_tea","MF",8,0,57.44,12.7,36.2,4.24,4.26,0.24,17.75,0.307,0.691,276.878,1.623,2205,5.29380078675431,0.02194033035863,0.706627243027669
"WRC18_16_Tea","WRC18_Tea_16","rooibos_tea","M",1,1,37.84,12.3,35.6,4.19,5.39,0.3,17.97,0.434,0,169.542,0,1879,5.75210709977928,0.0716436500522508,0.777567996177784
"WRC18_17_Tea","WRC18_Tea_17","rooibos_tea","M",2,0,36.645,13.3,33.6,3.56,4.72,0.22,21.45,0.636,0.014,117.773,0.435,1188,5.02898916655627,0.0560384592459364,0.721443680960261
"WRC18_18_Tea","WRC18_Tea_18","rooibos_tea","MF",2,0,44.1,14,35.4,3.77,4.89,0.24,20.38,0.553,0.175,294.123,5.284,976,3.98163834103552,0.0166499670331084,0.587763027592579
"WRC18_19_Tea","WRC18_Tea_19","rooibos_tea","M",3,1,30.425,11.8,23.6,4.12,2.47,0.15,16.47,0.261,0.076,105.755,0.073,1984,5.8248169165437,0.0678977925600896,0.779737904857652
"WRC18_20_Tea","WRC18_Tea_20","rooibos_tea","MF",3,1,56.615,12,32.1,4.11,5.45,0.3,18.17,0.234,0,405.053,1.226,2411,6.32317429835191,0.102526224715225,0.820822731588686
"WRC18_21_Tea","WRC18_Tea_21","rooibos_tea","MF",4,0,45.95,13.3,36.8,4.02,6.36,0.33,19.27,0.133,0.104,304.001,1.936,1142,5.33884328196718,0.0884115217526856,0.763855657054786
"WRC18_22_Tea","WRC18_Tea_22","rooibos_tea","M",5,1,35.75,11.8,27.6,4.16,3.78,0.21,18,0.296,0,101.65,-0.054,1437,4.96230585221281,0.0361868164383607,0.700721554957647
"WRC18_23_Tea","WRC18_Tea_23","rooibos_tea","MF",5,1,47.21,12.8,29,4.19,4.07,0.22,18.5,0.428,0,222.705,0.976,1849,5.71694754680849,0.0858848126790849,0.778580888706895
"WRC18_24_Tea","WRC18_Tea_24","rooibos_tea","M",6,0,26.995,15,34.1,4.11,4.62,0.24,19.25,0.081,0.179,115.138,0.093,2074,4.90908543168573,0.0128225518411538,0.657003487221031
"WRC18_25_Tea","WRC18_Tea_25","rooibos_tea","MF",6,0,35.87,13.7,38.1,4.21,4.93,0.26,18.96,0.21,0,322.486,2.812,1810,5.33783621092505,0.0358145929872261,0.7268863394771
"WRC18_26_Tea","WRC18_Tea_26","rooibos_tea","M",7,1,35.69,14,27.6,3.91,3.05,0.18,16.94,0.2,0,115.97,0.085,1519,4.68601741534489,0.0218875702075344,0.662179829274426
"WRC18_27_Tea","WRC18_Tea_27","rooibos_tea","MF",7,1,37.12,14,35.3,4.26,4.89,0.29,16.86,0.21,0,265.809,1.49,2101,5.60639029527246,0.0491332385873478,0.753889852780515
