OTU	Cluster	IndVal	Prob	Rank2	Rank3	Rank4	Rank5	Rank6	OTU
Otu00009	1	0.361955298279466	0.019	Verrucomicrobia	Spartobacteria	Spartobacteria_unclassified	Spartobacteria_unclassified	Spartobacteria_unclassified	Otu00009
Otu00010	1	0.249265905383361	0.097	Acidobacteria	Acidobacteria_Gp2	Gp2	Gp2_unclassified	Gp2_unclassified	Otu00010
Otu00017	1	0.241009125067096	0.443	Verrucomicrobia	Spartobacteria	Spartobacteria_unclassified	Spartobacteria_unclassified	Spartobacteria_unclassified	Otu00017
Otu00018	1	0.276800907543959	0.043	Acidobacteria	Acidobacteria_Gp2	Gp2	Gp2_unclassified	Gp2_unclassified	Otu00018
Otu00030	1	0.33347245409015	0.003	Acidobacteria	Acidobacteria_Gp2	Gp2	Gp2_unclassified	Gp2_unclassified	Otu00030
Otu00040	1	0.327452364149612	0.096	Acidobacteria	Acidobacteria_Gp1	Gp1	Gp1_unclassified	Gp1_unclassified	Otu00040
Otu00045	1	0.43611911623439	0.029	Verrucomicrobia	Spartobacteria	Spartobacteria_unclassified	Spartobacteria_unclassified	Spartobacteria_unclassified	Otu00045
Otu00047	1	0.254473161033797	0.126	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillales_unclassified	Rhodospirillales_unclassified	Otu00047
Otu00048	1	0.213318284424379	0.211	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Otu00048
Otu00049	1	0.388440860215054	0.025	Acidobacteria	Acidobacteria_Gp1	Gp1	Gp1_unclassified	Gp1_unclassified	Otu00049
Otu00050	1	0.220209723546235	0.491	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Rhodomicrobium	Otu00050
Otu00053	1	0.274725274725275	0.131	Acidobacteria	Acidobacteria_Gp13	Gp13	Gp13_unclassified	Gp13_unclassified	Otu00053
Otu00063	1	0.199222546161322	0.306	Acidobacteria	Acidobacteria_Gp3	Acidobacteria_Gp3_unclassified	Acidobacteria_Gp3_unclassified	Acidobacteria_Gp3_unclassified	Otu00063
Otu00071	1	0.239202657807309	0.449	Verrucomicrobia	Subdivision3	Subdivision3_unclassified	Subdivision3_unclassified	Subdivision3_unclassified	Otu00071
Otu00079	1	0.311263972484953	0.025	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Gemmata	Otu00079
Otu00002	2	0.203778135048232	0.207	Proteobacteria	Alphaproteobacteria	Rhizobiales	Roseiarcaceae	Roseiarcus	Otu00002
Otu00020	2	0.290788013318535	0.048	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Otu00020
