OTU	Cluster	IndVal	Prob	domain	phylum	class	order	family	genus
Otu00009	1	0.347480527738038	0.022	Bacteria	Verrucomicrobia	Spartobacteria	Spartobacteria  	Spartobacteria  	Spartobacteria  
Otu00018	1	0.272018481085764	0.032	Bacteria	Acidobacteria	Acidobacteria Gp2	Gp2	Gp2  	Gp2  
Otu00030	1	0.340715502555366	0.003	Bacteria	Acidobacteria	Acidobacteria Gp2	Gp2	Gp2  	Gp2  
Otu00043	1	0.344262295081967	0.012	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillales  	Rhodospirillales  
Otu00045	1	0.422454804947669	0.045	Bacteria	Verrucomicrobia	Spartobacteria	Spartobacteria  	Spartobacteria  	Spartobacteria  
Otu00049	1	0.387314439946019	0.032	Bacteria	Acidobacteria	Acidobacteria Gp1	Gp1	Gp1  	Gp1  
Otu00057	1	0.390922401171303	0.004	Bacteria	Proteobacteria	Proteobacteria  	Proteobacteria  	Proteobacteria  	Proteobacteria  
Otu00058	1	0.292553191489362	0.012	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales  	Rhizobiales  
Otu00079	1	0.313072439633639	0.032	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Gemmata
Otu00081	1	0.326732673267327	0.01	Bacteria	Verrucomicrobia	Spartobacteria	Spartobacteria  	Spartobacteria  	Spartobacteria  
Otu00115	1	0.474074074074074	0.029	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales  	Rhizobiales  
Otu00119	1	0.309810671256454	0.004	Bacteria	Acidobacteria	Acidobacteria Gp2	Gp2	Gp2  	Gp2  
Otu00122	1	0.397379912663755	0.028	Bacteria	Acidobacteria	Acidobacteria Gp2	Gp2	Gp2  	Gp2  
Otu00123	1	0.432835820895522	0.001	Bacteria	Acidobacteria	Acidobacteria Gp1	Gp1	Gp1  	Gp1  
Otu00139	1	0.294230769230769	0.018	Bacteria	Acidobacteria	Acidobacteria Gp3	Gp3	Gp3  	Gp3  
