"","OTU","Sample","Abundance","sample","source","treatment","block","ditch","Percent_Loss","temp_degC","moisture","pH","c_percent","n_percent","C_N","n_nh4_ug_gsoil","n_no3_ug_gsoil","p_po4_hcl_ug_gsoil","p_po4_w_ug_gsoil","Kingdom","Phylum","Class","Order","Family","Genus"
"1","Otu00042","WRC18_09_Tea",0.0777230090888293,"WRC18_Tea_9","Green Tea","M",5,1,60.435,11.8,27.6,4.16,3.78,0.21,18,0.296,0,101.65,-0.054,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Dongia"
"2","Otu00042","WRC18_15_Tea",0.053187702568522,"WRC18_Tea_15","Green Tea","MF",8,0,57.44,12.7,36.2,4.24,4.26,0.24,17.75,0.307,0.691,276.878,1.623,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Dongia"
"3","Otu00042","WRC18_05_Tea",0.0485843714609287,"WRC18_Tea_5","Green Tea","M",3,1,58.585,11.8,23.6,4.12,2.47,0.15,16.47,0.261,0.076,105.755,0.073,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Dongia"
"4","Otu00042","WRC18_07_Tea",0.0465705597477193,"WRC18_Tea_7","Green Tea","M",4,0,57.075,12.3,35.5,3.86,4.74,0.24,19.75,0.105,0.082,141.245,0.126,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Dongia"
"5","Otu00042","WRC18_11_Tea",0.0401694220521929,"WRC18_Tea_11","Green Tea","M",6,0,54.79,15,34.1,4.11,4.62,0.24,19.25,0.081,0.179,115.138,0.093,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Dongia"
"6","Otu00042","WRC18_04_Tea",0.0255792584498473,"WRC18_Tea_4","Green Tea","MF",2,0,62.77,14,35.4,3.77,4.89,0.24,20.38,0.553,0.175,294.123,5.284,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Dongia"
"7","Otu00042","WRC18_06_Tea",0.0243988328805715,"WRC18_Tea_6","Green Tea","MF",3,1,64.14,12,32.1,4.11,5.45,0.3,18.17,0.234,0,405.053,1.226,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Dongia"
"8","Otu00042","WRC18_27_Tea",0.0196017664833036,"WRC18_Tea_27","Rooibos Tea","MF",7,1,37.12,14,35.3,4.26,4.89,0.29,16.86,0.21,0,265.809,1.49,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Dongia"
"9","Otu00042","WRC18_14_Tea",0.0185547006589142,"WRC18_Tea_14","Green Tea","M",8,0,53.085,12.7,34.3,4.01,3.67,0.2,18.35,0.221,0.268,121.264,0.113,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Dongia"
"10","Otu00042","WRC18_20_Tea",0.0182580145743801,"WRC18_Tea_20","Rooibos Tea","MF",3,1,56.615,12,32.1,4.11,5.45,0.3,18.17,0.234,0,405.053,1.226,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Dongia"
"11","Otu00042","WRC18_02_Tea",0.0168927631918296,"WRC18_Tea_2","Green Tea","MF",1,1,72.23,10.8,26.4,4.18,2.59,0.16,16.19,0.187,0,200.566,0.453,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Dongia"
"12","Otu00042","WRC18_25_Tea",0.0162132327576294,"WRC18_Tea_25","Rooibos Tea","MF",6,0,35.87,13.7,38.1,4.21,4.93,0.26,18.96,0.21,0,322.486,2.812,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Dongia"
