"","V1","V2"
"treatment","M","MF"
"sample_mean",NA,NA
"source_mean",NA,NA
"block_mean","4.5","4.5"
"ditch_mean","0.5","0.5"
"Percent_Loss_mean",NA,NA
"temp_degC_mean","12.9000","12.9125"
"moisture_mean","31.4875","33.6625"
"pH_mean","3.9900","4.1225"
"c_percent_mean","4.055","4.680"
"n_percent_mean","0.2175","0.2550"
"C_N_mean","18.5225","18.2600"
"n_nh4_ug_gsoil_mean","0.27925","0.28275"
"n_no3_ug_gsoil_mean","0.077375","0.121250"
"p_po4_hcl_ug_gsoil_mean","123.5421","286.4526"
"p_po4_w_ug_gsoil_mean","0.108875","1.975000"
"sample_sd","4.898979","4.898979"
"source_sd","0","0"
"block_sd","2.44949","2.44949"
"ditch_sd","0.5345225","0.5345225"
"Percent_Loss_sd",NA,NA
"temp_degC_sd","1.131371","1.101217"
"moisture_sd","4.545779","4.116149"
"pH_sd","0.2100340","0.1617538"
"c_percent_sd","0.9826349","1.1008179"
"n_percent_sd","0.04496030","0.05291503"
"C_N_sd","1.600507","1.340320"
"n_nh4_ug_gsoil_sd","0.1817264","0.1410550"
"n_no3_ug_gsoil_sd","0.09904247","0.23943669"
"p_po4_hcl_ug_gsoil_sd","22.01125","62.89372"
"p_po4_w_ug_gsoil_sd","0.1449921","1.5064711"
